epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,231.661,1.28599,0.83733,1.03965,0.54443,0.46428,0.42753,0.2903,1.26048,0.97498,1.04416,0.0005941,0.0005941,0.0005941
43,236.828,1.25176,0.85096,1.03911,0.55423,0.49852,0.43299,0.28872,1.25779,0.98181,1.04036,0.0005842,0.0005842,0.0005842
44,242.287,1.3196,0.86845,1.04482,0.5581,0.51405,0.43186,0.2959,1.25475,0.97733,1.04004,0.0005743,0.0005743,0.0005743
45,247.979,1.31412,0.86293,1.02431,0.5691,0.51128,0.42986,0.28829,1.26543,0.9876,1.04105,0.0005644,0.0005644,0.0005644
46,253.187,1.27313,0.82983,1.03349,0.594,0.55076,0.4332,0.28788,1.25149,0.97527,1.03969,0.0005545,0.0005545,0.0005545
47,258.613,1.22694,0.85036,1.05669,0.57273,0.5147,0.42827,0.28316,1.24802,0.97246,1.03699,0.0005446,0.0005446,0.0005446
48,263.746,1.18371,0.81321,1.01788,0.57104,0.49694,0.42544,0.28428,1.24864,0.97677,1.03772,0.0005347,0.0005347,0.0005347
49,268.879,1.23138,0.83655,1.0455,0.58981,0.528,0.4534,0.28829,1.24763,0.97732,1.03826,0.0005248,0.0005248,0.0005248
50,274.277,1.23516,0.81372,1.04312,0.57458,0.49812,0.44863,0.28459,1.25564,0.98919,1.04229,0.0005149,0.0005149,0.0005149
51,279.324,1.18579,0.79829,1.0311,0.52946,0.44549,0.41281,0.28179,1.25222,0.98231,1.03969,0.000505,0.000505,0.000505
52,284.862,1.22363,0.82582,1.05462,0.54787,0.45727,0.4156,0.28425,1.25684,0.98638,1.0402,0.0004951,0.0004951,0.0004951
53,290.237,1.25869,0.83702,1.02342,0.5464,0.44953,0.4216,0.28673,1.24647,0.98428,1.03885,0.0004852,0.0004852,0.0004852
54,295.496,1.27972,0.83086,1.01954,0.5471,0.44909,0.42487,0.28604,1.245,0.98486,1.03901,0.0004753,0.0004753,0.0004753
55,300.848,1.21446,0.81125,1.0313,0.54963,0.46679,0.45052,0.28144,1.23693,0.97867,1.03411,0.0004654,0.0004654,0.0004654
56,306.005,1.14947,0.80849,1.02494,0.52484,0.44148,0.44722,0.28858,1.23683,0.96188,1.03242,0.0004555,0.0004555,0.0004555
57,311.304,1.12761,0.75419,0.99167,0.59749,0.3508,0.413,0.28124,1.24585,0.96042,1.03285,0.0004456,0.0004456,0.0004456
58,316.849,1.16534,0.78798,1.02929,0.59293,0.35739,0.41087,0.27741,1.23336,0.96244,1.03053,0.0004357,0.0004357,0.0004357
59,322.05,1.23222,0.80937,1.04616,0.59819,0.35986,0.4095,0.2745,1.22975,0.96604,1.0312,0.0004258,0.0004258,0.0004258
60,327.675,1.26401,0.8271,1.04699,0.59611,0.36011,0.41902,0.28734,1.24238,0.97186,1.03119,0.0004159,0.0004159,0.0004159
61,332.727,1.25057,0.82057,1.02838,0.55833,0.4565,0.45194,0.28617,1.22944,0.97109,1.0295,0.000406,0.000406,0.000406
62,338.183,1.28464,0.83239,1.0259,0.78353,0.36239,0.41151,0.27654,1.2282,0.97779,1.02952,0.0003961,0.0003961,0.0003961
63,343.771,1.17422,0.79449,1.0139,0.77331,0.36819,0.40923,0.27398,1.22337,0.97753,1.02823,0.0003862,0.0003862,0.0003862
64,348.991,1.20318,0.78737,1.00359,0.77341,0.36949,0.40778,0.27492,1.22957,0.97245,1.02971,0.0003763,0.0003763,0.0003763
